"species_name","count"
"PACIFIC SLEEPER SHARK",1
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",195
"SHORTRAKER ROCKFISH",11
"YELLOWEYE ROCKFISH",49
"PACIFIC HALIBUT",247
