<<<<<<< HEAD
"keyid","Association","year","Names"
4,"amr       ",2018,"Kevin Baker, Guy Boxall and Talyn Ridgway"
5,"dfo       ",2018,"Schon Acheson, Brendan Connors, Grant Garner, Kathryn Temple, Daniel Williams, and Malcolm Wyeth"
6,"crew      ",2018,"Mike Derry (skipper), D'Arcy Nichols (skipper), Travis Anderson, Alec Fraumeni, Dan Heslop, Dylan Holstein, Jason Johnston and Alex Pugh"
=======
"keyid","Association","year","Names"
4,"amr       ",2018,"Kevin Baker, Guy Boxall and Talyn Ridgway"
5,"dfo       ",2018,"Schon Acheson, Brendan Connors, Grant Garner, Kathryn Temple, Daniel Williams, and Malcolm Wyeth"
6,"crew      ",2018,"Mike Derry (skipper), D'Arcy Nichols (skipper), Travis Anderson, Alec Fraumeni, Dan Heslop, Dylan Holstein, Jason Johnston and Alex Pugh"
>>>>>>> 574a90f9915148371f45528aa5df2264bfc26ad9
