"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"Dean/Burke Channel",,0.32,0.68,513,553,534
"Finlayson Channel",,0.32,0.68,504,554,532
"Gil Island",,0.29,0.71,520,558,536
"Portland Inlet",,0.31,0.69,521,549,538
