"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.43,0.57,580,635,611
"S1","RD2       ",0.71,0.29,570,600,565
"S1","RD3       ",0.33,0.67,558,621,585
"S2","RD1       ",0.26,0.74,591,636,607
"S2","RD2       ",0.56,0.44,557,624,574
"S2","RD3       ",0.22,0.78,569,653,625
"S3","RD1       ",0.19,0.81,557,628,610
"S3","RD2       ",0.68,0.32,564,628,576
"S3","RD3       ",0.31,0.69,568,655,603
"S4","RD1       ",0.21,0.79,618,649,658
"S4","RD2       ",0.59,0.41,545,561,548
"S4","RD3       ",0.65,0.35,613,676,640
"S5","RD1       ",0.28,0.72,585,633,590
"S5","RD2       ",0.6,0.4,551,543,526
"S5","RD3       ",0.62,0.38,592,634,602
