"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Lingcod","OPHIODON ELONGATUS",1887.69
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",1883.52
"Spiny dogfish","SQUALUS ACANTHIAS",1317.83
"Rougheye rockfish","SEBASTES ALEUTIANUS",501.73
"Redbanded rockfish","SEBASTES BABCOCKI",386.35
